Kaina;Miestas;Rajonas;Kamb. Sk;Tipas;Remontas;Árengtumas;Nauja statyba ar ne;Mûrinis ar ne;Namo tipas;Namo plotas;Sklypo plotas;Atstumas iki centro (km);Pastatymo metai;Nuoroda;Skelbimas
999000;Vilnius;Galgiai;5;Namas;Nereikia;Árengtas;Nauja;Mûrinis;Blokinis;214;10;13;2007;http://www.skelbiu.lt/skelbimai/pasiulymas-vertinantiems-ypatinga-pasiulymas-12378062.html;file:///C:/Users/Dovile/Desktop/Namai/71.html
380000;Vilniaus raj.;Skaidiðkiø k.;6;Namas;Reikia;Dalinai árengtas;Nauja;Mûrinis;Mûrinis;195;6;14;2011;http://www.aruodas.lt/namas/vilniuje/parduodamas-naujos-statybos-individualus-namas-su/2-242650;file:///C:/Users/Dovile/Desktop/Namai/72.htm
650000;Vilnius;Trakø Vokë;4;Namas;Nereikia;Árengtas;Nauja;Mûrinis;Mûrinis;251;17;15;2011;http://www.aruodas.lt/namas/vilniuje/parduodamas-25111-kvm-kokybiskomis-medziagomis-i/2-242235;file:///C:/Users/Dovile/Desktop/Namai/73.htm
260000;Vilnius;Skaidiðkiø k.;3;Namas;Reikia;Neárengtas;Nauja;Mûrinis;Blokinis;185;9;13;2011;http://www.skelbiu.lt/skelbimai/parduodamas-naujos-statybos-namas-parduodamas-12189002.html;file:///C:/Users/Dovile/Desktop/Namai/61.html
610000;Vilnius;Filaretai;7;Namas;Reikia;Árengtas;Nenauja;Mûrinis;Mûrinis;290;18;8;1981;http://www.skelbiu.lt/skelbimai/parduodamas-namas-ant-kalvos-labai-parduodamas-12352984.html;file:///C:/Users/Dovile/Desktop/Namai/67.html
370000;Vilnius;Skaidiðkiø k.;6;Namas;Reikia;Dalinai árengtas;Nauja;Mûrinis;Blokinis;230;10;13;2008;http://www.skelbiu.lt/skelbimai/namas-vilniaus-priemiestis-skaidiskes-4765034.html;file:///C:/Users/Dovile/Desktop/Namai/61.html
490000;Vilnius;Skaidiðkiø k.;4;Namas;Nereikia;Árengtas;Nauja;Mûrinis;Blokinis;200;10;13;2008;http://www.skelbiu.lt/skelbimai/namas-vilniaus-priemiestis-skaidiskes-8222279.html;file:///C:/Users/Dovile/Desktop/Namai/63.html
380000;Vilnius;Pagiriai;5;Namas;Reikia;Dalinai árengtas;Nauja;Mûrinis;Mûrinis;190;8;16;2009;http://www.skelbiu.lt/skelbimai/parduodamas-kokybiskos-statybos-parduodamas-12352896.html;file:///C:/Users/Dovile/Desktop/Namai/68.html
399000;Vilnius;Pavilnys;4;Namas;Reikia;Neárengtas;Nauja;Mûrinis;Blokinis;150;6;5;2009;http://www.skelbiu.lt/skelbimai/parduodamas-namas-pavilnyje-guriu-parduodamas-12353169.html;file:///C:/Users/Dovile/Desktop/Namai/64.html
849000;Vilnius;Grigiðkës;5;Namas;Nereikia;Árengtas;Nenauja;Mûrinis;Mûrinis;200;14;16;1997;http://www.skelbiu.lt/skelbimai/parduodamas-irengtas-2-a-180-kv-parduodamas-12353164.html;file:///C:/Users/Dovile/Desktop/Namai/65.html
